                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1434,                 1.0269,                 1.3204,                0.68105,                0.58027,                 0.6305,                0.39742,                 1.2637,                 1.1638,                 1.5439,             0.00035416,             0.00035416,             0.00035416
                     35,                 1.1198,                 0.9976,                 1.3085,                0.62505,                 0.5933,                0.64985,                0.40222,                 1.2612,                  1.087,                 1.5556,             0.00034895,             0.00034895,             0.00034895
                     36,                 1.1201,                 1.0007,                 1.3074,                0.74149,                 0.5808,                0.65864,                0.40897,                 1.2357,                 1.0145,                 1.5038,             0.00034374,             0.00034374,             0.00034374
                     37,                 1.1271,                0.99308,                 1.3161,                0.58419,                 0.6271,                0.62342,                0.39549,                  1.268,                 1.0931,                 1.5345,             0.00033853,             0.00033853,             0.00033853
                     38,                 1.1114,                0.97867,                 1.2989,                0.63221,                0.61487,                0.64974,                0.41175,                 1.2448,                 1.0986,                 1.5203,             0.00033333,             0.00033333,             0.00033333
                     39,                 1.1368,                0.99061,                 1.3134,                0.70635,                0.65997,                0.70128,                0.44569,                 1.2392,                 1.0115,                 1.5024,             0.00032812,             0.00032812,             0.00032812
                     40,                  1.117,                0.97336,                 1.3081,                0.74981,                0.60706,                0.66779,                0.41711,                 1.2513,                 1.0842,                 1.5179,             0.00032291,             0.00032291,             0.00032291
                     41,                 1.1058,                 0.9468,                 1.2989,                0.70702,                0.67213,                  0.702,                0.44608,                 1.2272,                 1.0141,                 1.5098,              0.0003177,              0.0003177,              0.0003177
                     42,                 1.1016,                0.95097,                 1.2989,                 0.7605,                 0.6049,                0.67362,                0.42697,                 1.2396,                 1.0017,                 1.5024,              0.0003125,              0.0003125,              0.0003125
                     43,                 1.1163,                 0.9532,                 1.2988,                0.73272,                0.62899,                0.66973,                0.42374,                 1.2378,                 1.0481,                 1.5164,             0.00030729,             0.00030729,             0.00030729
                     44,                 1.0951,                 0.9405,                  1.286,                0.80316,                0.55057,                 0.6705,                0.42206,                 1.2401,                 1.0871,                 1.5135,             0.00030208,             0.00030208,             0.00030208
                     45,                 1.0925,                0.93633,                 1.2855,                0.77128,                0.64971,                0.71162,                 0.4481,                 1.2152,                 1.0042,                 1.4975,             0.00029687,             0.00029687,             0.00029687
                     46,                 1.0914,                0.92166,                 1.2815,                0.74284,                0.68646,                0.72037,                0.46436,                 1.2086,                0.98413,                 1.4763,             0.00029167,             0.00029167,             0.00029167
                     47,                 1.0921,                0.92161,                 1.2799,                0.72791,                0.61679,                0.68917,                0.45001,                 1.2107,                0.98225,                 1.4865,             0.00028646,             0.00028646,             0.00028646
                     48,                 1.0792,                0.90459,                 1.2717,                0.72091,                0.62491,                0.68235,                0.43596,                 1.2331,                 1.0663,                 1.5034,             0.00028125,             0.00028125,             0.00028125
                     49,                 1.0717,                0.89525,                 1.2752,                 0.7183,                0.64777,                0.70782,                0.45379,                 1.2216,                0.97455,                 1.4909,             0.00027604,             0.00027604,             0.00027604
                     50,                 1.0696,                0.88764,                 1.2666,                0.75132,                0.64474,                0.71164,                0.45492,                 1.2142,                0.94844,                 1.4896,             0.00027084,             0.00027084,             0.00027084
                     51,                 1.0791,                0.88299,                  1.271,                0.77443,                0.59487,                0.69457,                0.44205,                 1.2281,                0.97712,                 1.4944,             0.00026563,             0.00026563,             0.00026563
                     52,                 1.0614,                0.87155,                 1.2674,                0.79258,                0.62298,                0.72257,                0.46401,                 1.2182,                0.96503,                 1.4792,             0.00026042,             0.00026042,             0.00026042
                     53,                 1.0669,                0.86572,                 1.2585,                0.79426,                0.67402,                0.73411,                0.45625,                  1.208,                0.92676,                 1.4827,             0.00025522,             0.00025522,             0.00025522
                     54,                 1.0542,                0.84788,                  1.255,                0.78158,                0.66419,                0.73259,                0.46713,                 1.2221,                0.96254,                 1.4868,             0.00025001,             0.00025001,             0.00025001
