epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,525.365,2.90125,4.31366,1.53317,0.57901,0.05827,0.03209,0.01543,2.49612,3.72038,1.47025,0.000175237,0.000175237,0.000175237
2,906.7,2.6415,3.37925,1.36471,0.5874,0.05381,0.04558,0.0226,2.29513,3.07375,1.39102,0.000177038,0.000177038,0.000177038
